Horario,Dia,Data,Clube_1,Clube_2,Vencedor,Rodada,pos,Rodada_Num,Arena,Gols_Clube_1,Gols_Clube_2,Estado_Clube_1,Estado_Clube_2
16:00:00,Sábado,2000-07-29,Fluminense,Bahia,Fluminense,1ª Rodada,2,1,Maracanã,2,0,RJ,BA
16:00:00,Sábado,2000-07-29,Vasco,Sport,Sport,1ª Rodada,2,1,São Januário,0,2,RJ,PE
16:00:00,Sábado,2000-07-29,Vitória,Palmeiras,Vitória,1ª Rodada,2,1,Barradão,4,1,ES,SP
17:00:00,Domingo,2000-07-30,Botafogo-RJ,Atlético-MG,-,1ª Rodada,2,1,Caio Martins,0,0,RJ,MG
18:30:00,Domingo,2000-07-30,Juventude,Flamengo,-,1ª Rodada,2,1,Alfredo Jaconi,1,1,RS,RJ
16:00:00,Domingo,2000-07-30,Guarani,Santa Cruz,-,1ª Rodada,2,1,Brinco de Ouro,0,0,SP,PE
17:00:00,Domingo,2000-07-30,Cruzeiro,Athlético-PR,Athlético-PR,1ª Rodada,2,1,Mineirão,0,2,MG,PR
16:00:00,Domingo,2000-07-30,América-MG,Gama,Gama,1ª Rodada,2,1,Independência,0,1,MG,DF
18:30:00,Domingo,2000-07-30,Goiás,Corinthians,Goiás,1ª Rodada,2,1,Serra Dourada,3,0,GO,SP
20:30:00,Quarta-feira,2000-08-02,Coritiba,Sport,-,2ª Rodada,2,2,Couto Pereira,0,0,PR,PE
20:30:00,Quarta-feira,2000-08-02,Bahia,Athlético-PR,Bahia,2ª Rodada,2,2,Fonte Nova,2,1,BH,PR
21:40:00,Quarta-feira,2000-08-02,Flamengo,Grêmio,Flamengo,2ª Rodada,2,2,Maracanã,3,0,RJ,RS
20:30:00,Quarta-feira,2000-08-02,Gama,Fluminense,Gama,2ª Rodada,2,2,Mané Garrincha,2,1,DF,RJ
20:30:00,Quarta-feira,2000-08-02,Internacional,Goiás,Goiás,2ª Rodada,2,2,Beira Rio,0,1,RS,GO
20:30:00,Quarta-feira,2000-08-02,Ponte Preta,América-MG,Ponte Preta,2ª Rodada,2,2,Moisés Lucarelli,3,1,SP,MG
20:30:00,Quarta-feira,2000-08-02,Santos,Vitória,Santos,2ª Rodada,2,2,Vila Belmiro,2,0,SP,ES
20:30:00,Quinta-feira,2000-08-03,Palmeiras,Botafogo-RJ,-,2ª Rodada,2,2,Pq. Antarctica,0,0,SP,RJ
16:00:00,Sábado,2000-08-05,Athlético-PR,Flamengo,-,3ª Rodada,2,3,Joaquim Américo,1,1,PR,RJ
18:00:00,Sábado,2000-08-05,Corinthians,Gama,Corinthians,3ª Rodada,2,3,Canindé,4,2,SP,DF
16:00:00,Sábado,2000-08-05,Fluminense,Santos,Fluminense,3ª Rodada,2,3,Maracanã,2,1,RJ,SP
16:00:00,Domingo,2000-08-06,Atlético-MG,Bahia,-,3ª Rodada,2,3,Mineirão,0,0,MG,BA
17:00:00,Domingo,2000-08-06,Vasco,Cruzeiro,-,3ª Rodada,2,3,São Januário,3,3,RJ,MG
16:00:00,Domingo,2000-08-06,Juventude,Ponte Preta,-,3ª Rodada,2,3,Alfredo Jaconi,1,1,RS,SP
18:30:00,Domingo,2000-08-06,Coritiba,Botafogo-RJ,Botafogo-RJ,3ª Rodada,2,3,Couto Pereira,0,2,PR,RJ
16:00:00,Domingo,2000-08-06,Portuguesa,Goiás,Goiás,3ª Rodada,2,3,Canindé,0,2,SP,GO
18:30:00,Domingo,2000-08-06,Grêmio,Palmeiras,Palmeiras,3ª Rodada,2,3,Olímpico Monumental,0,1,RS,SP
17:00:00,Domingo,2000-08-06,São Paulo,Santa Cruz,São Paulo,3ª Rodada,2,3,Morumbi,2,1,SP,PE
21:40:00,Quarta-feira,2000-08-09,Internacional,Fluminense,-,4ª Rodada,2,4,Beira Rio,1,1,RS,RJ
20:30:00,Quarta-feira,2000-08-09,Bahia,Grêmio,-,4ª Rodada,2,4,Fonte Nova,1,1,BH,RS
20:30:00,Quarta-feira,2000-08-09,Flamengo,Guarani,-,4ª Rodada,2,4,Maracanã,1,1,RJ,SP
20:30:00,Quarta-feira,2000-08-09,Santos,São Paulo,-,4ª Rodada,2,4,Vila Belmiro,1,1,SP,SP
20:30:00,Quarta-feira,2000-08-09,Gama,Athlético-PR,Athlético-PR,4ª Rodada,2,4,Mané Garrincha,0,1,DF,PR
20:30:00,Quarta-feira,2000-08-09,Botafogo-RJ,Portuguesa,Botafogo-RJ,4ª Rodada,2,4,Caio Martins,4,1,RJ,SP
20:30:00,Quarta-feira,2000-08-09,Goiás,Coritiba,Goiás,4ª Rodada,2,4,Serra Dourada,1,0,GO,PR
20:30:00,Quarta-feira,2000-08-09,Santa Cruz,Vitória,Santa Cruz,4ª Rodada,2,4,Arruda,2,1,PE,ES
20:30:00,Sexta-feira,2000-08-11,Palmeiras,Goiás,-,5ª Rodada,2,5,Pq. Antarctica,1,1,SP,GO
20:30:00,Sexta-feira,2000-08-11,Athlético-PR,Atlético-MG,Athlético-PR,5ª Rodada,2,5,Joaquim Américo,2,1,PR,MG
20:30:00,Sexta-feira,2000-08-11,Vasco,Corinthians,Vasco,5ª Rodada,2,5,São Januário,1,0,RJ,SP
16:00:00,Sábado,2000-08-12,Coritiba,Gama,Gama,6ª Rodada,2,6,Couto Pereira,0,1,PR,DF
18:00:00,Sábado,2000-08-12,Grêmio,Santos,Santos,6ª Rodada,2,6,Olímpico Monumental,0,2,RS,SP
18:00:00,Sábado,2000-08-12,São Paulo,Flamengo,São Paulo,6ª Rodada,2,6,Morumbi,3,2,SP,RJ
18:30:00,Domingo,2000-08-13,Sport,Cruzeiro,-,6ª Rodada,2,6,Ilha do Retiro,1,1,PE,MG
18:30:00,Domingo,2000-08-13,Athlético-PR,Palmeiras,-,6ª Rodada,2,6,Joaquim Américo,0,0,PR,SP
17:00:00,Domingo,2000-08-13,Corinthians,Santa Cruz,Corinthians,6ª Rodada,2,6,Pacaembu,2,0,SP,PE
17:00:00,Domingo,2000-08-13,Botafogo-RJ,Internacional,Internacional,6ª Rodada,2,6,Maracanã,0,1,RJ,RS
16:00:00,Domingo,2000-08-13,Portuguesa,Juventude,Portuguesa,6ª Rodada,2,6,Canindé,2,0,SP,RS
18:30:00,Domingo,2000-08-13,Guarani,Vasco,Vasco,6ª Rodada,2,6,Brinco de Ouro,0,1,SP,RJ
16:00:00,Domingo,2000-08-13,Goiás,Vitória,Vitória,6ª Rodada,2,6,Serra Dourada,4,5,GO,ES
20:30:00,Quarta-feira,2000-08-16,Internacional,Atlético-MG,-,7ª Rodada,2,7,Beira Rio,1,1,RS,MG
20:30:00,Quarta-feira,2000-08-16,Fluminense,Guarani,-,7ª Rodada,2,7,Laranjeiras,0,0,RJ,SP
22:00:00,Quarta-feira,2000-08-16,Cruzeiro,São Paulo,-,7ª Rodada,2,7,Mineirão,2,2,MG,SP
22:00:00,Quarta-feira,2000-08-16,Santa Cruz,Vasco,-,7ª Rodada,2,7,Arruda,1,1,PE,RJ
20:30:00,Quarta-feira,2000-08-16,Gama,Bahia,Bahia,7ª Rodada,2,7,Mané Garrincha,0,1,DF,BA
20:30:00,Quarta-feira,2000-08-16,Palmeiras,Corinthians,Corinthians,7ª Rodada,2,7,Morumbi,0,1,SP,SP
20:30:00,Quarta-feira,2000-08-16,Goiás,Botafogo-RJ,Goiás,7ª Rodada,2,7,Serra Dourada,3,2,GO,RJ
20:30:00,Quarta-feira,2000-08-16,Santos,América-MG,Santos,7ª Rodada,2,7,Vila Belmiro,3,0,SP,MG
20:30:00,Quarta-feira,2000-08-16,Vitória,Portuguesa,Vitória,7ª Rodada,2,7,Barradão,2,0,ES,SP
20:30:00,Quinta-feira,2000-08-17,Flamengo,Coritiba,Flamengo,7ª Rodada,2,7,Maracanã,2,1,RJ,PR
15:45:00,Sábado,2000-08-19,América-MG,Fluminense,-,8ª Rodada,2,8,Independência,1,1,MG,RJ
18:00:00,Sábado,2000-08-19,Gama,Goiás,-,8ª Rodada,2,8,Mané Garrincha,1,1,DF,GO
15:45:00,Sábado,2000-08-19,Atlético-MG,Santos,Atlético-MG,8ª Rodada,2,8,Mineirão,1,0,MG,SP
16:00:00,Sábado,2000-08-19,Guarani,Cruzeiro,Cruzeiro,8ª Rodada,2,8,Brinco de Ouro,0,1,SP,MG
18:00:00,Sábado,2000-08-19,Palmeiras,Internacional,Internacional,8ª Rodada,2,8,Morumbi,1,4,SP,RS
17:00:00,Domingo,2000-08-20,São Paulo,Bahia,-,8ª Rodada,2,8,Morumbi,1,1,SP,BA
18:30:00,Domingo,2000-08-20,Botafogo-RJ,Corinthians,-,8ª Rodada,2,8,Maracanã,1,1,RJ,SP
18:30:00,Domingo,2000-08-20,Santa Cruz,Flamengo,-,8ª Rodada,2,8,Arruda,2,2,PE,RJ
16:00:00,Domingo,2000-08-20,Juventude,Sport,-,8ª Rodada,2,8,Alfredo Jaconi,1,1,RS,PE
17:00:00,Domingo,2000-08-20,Athlético-PR,Coritiba,Coritiba,8ª Rodada,2,8,Joaquim Américo,1,3,PR,PR
17:00:00,Domingo,2000-08-20,Vasco,Ponte Preta,Vasco,8ª Rodada,2,8,São Januário,2,1,RJ,SP
