service_id,date,exception_type
20200511multiint-0000010,20200118,1
20200611multiint-0000001,20200119,1
20200012multiint-1111100,20200120,1
20200012multiint-1111100,20200121,1
20200012multiint-1111100,20200122,1
20200012multiint-0001100,20200123,1
20200012multiint-1111100,20200123,1
20200012multiint-0000100,20200124,1
20200012multiint-0001100,20200124,1
20200012multiint-1111100,20200124,1
20200511multiint-0000010,20200125,1
20200611multiint-0000001,20200126,1
20200012multiint-1111100,20200127,1
20200012multiint-1111100,20200128,1
20200012multiint-1111100,20200129,1
20200012multiint-0001100,20200130,1
20200012multiint-1111100,20200130,1
20200012multiint-0000100,20200131,1
20200012multiint-0001100,20200131,1
20200012multiint-1111100,20200131,1
20200511multiint-0000010,20200201,1
20200611multiint-0000001,20200202,1
20200012multiint-1111100,20200203,1
20200012multiint-1111100,20200204,1
20200012multiint-1111100,20200205,1
20200012multiint-0001100,20200206,1
20200012multiint-1111100,20200206,1
20200012multiint-0000100,20200207,1
20200012multiint-0001100,20200207,1
20200012multiint-1111100,20200207,1
20200511multiint-0000010,20200208,1
20200611multiint-0000001,20200209,1
20200012multiint-1111100,20200210,1
20200012multiint-1111100,20200211,1
20200012multiint-1111100,20200212,1
20200012multiint-0001100,20200213,1
20200012multiint-1111100,20200213,1
20200012multiint-0000100,20200214,1
20200012multiint-0001100,20200214,1
20200012multiint-1111100,20200214,1
20200511multiint-0000010,20200215,1
20200611multiint-0000001,20200216,1
20200012multiint-1111100,20200217,1
20200012multiint-1111100,20200218,1
20200012multiint-1111100,20200219,1
20200012multiint-0001100,20200220,1
20200012multiint-1111100,20200220,1
20200012multiint-0000100,20200221,1
20200012multiint-0001100,20200221,1
20200012multiint-1111100,20200221,1
20200511multiint-0000010,20200222,1
20200611multiint-0000001,20200223,1
20200012multiint-1111100,20200224,1
20200012multiint-1111100,20200225,1
20200012multiint-1111100,20200226,1
20200012multiint-0001100,20200227,1
20200012multiint-1111100,20200227,1
20200012multiint-0000100,20200228,1
20200012multiint-0001100,20200228,1
20200012multiint-1111100,20200228,1
20201511multiint-0000010,20200229,1
20201611multiint-0000001,20200301,1
20201011multiint-1111100,20200302,1
