trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
66942153-20200012multiint-1111100,07:13:00,07:13:00,3943,20010,0,1
66942153-20200012multiint-1111100,07:32:00,07:32:00,5717,20090,0,1
66942153-20200012multiint-1111100,07:53:00,07:53:00,6429,20130,1,0
66942154-20200012multiint-1111100,17:09:00,17:09:00,6428,20010,0,1
66942154-20200012multiint-1111100,17:34:00,17:34:00,5719,20050,1,0
66942154-20200012multiint-1111100,17:50:00,17:50:00,5691,20140,1,0
66942155-20200012multiint-1111100,06:40:00,06:40:00,1442,20010,0,0
66942155-20200012multiint-1111100,06:41:00,06:41:00,2802,20020,0,0
66942155-20200012multiint-1111100,06:42:00,06:42:00,2837,20030,0,0
66942155-20200012multiint-1111100,06:42:00,06:42:00,1884,20040,0,0
66942155-20200012multiint-1111100,06:43:00,06:43:00,1885,20050,0,0
66942155-20200012multiint-1111100,06:45:00,06:45:00,1452,20060,0,0
66942155-20200012multiint-1111100,06:46:00,06:46:00,1454,20070,0,0
66942155-20200012multiint-1111100,06:46:00,06:46:00,1455,20080,0,0
66942155-20200012multiint-1111100,06:49:00,06:49:00,1459,20090,0,0
66942155-20200012multiint-1111100,06:50:00,06:50:00,1461,20100,0,0
