route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
200760,20200611multiint-0000001,66956315-20200611multiint-0000001,"Gare de train de Sainte-Foy (Sud)",,1,,07600023,2
200760,20200611multiint-0000001,66956353-20200611multiint-0000001,"Aéroport international Jean-Lesage (Nord)",,0,,07600024,2
200760,20200611multiint-0000001,66956318-20200611multiint-0000001,"Gare de train de Sainte-Foy (Sud)",,1,,07600023,2
200760,20200611multiint-0000001,66956356-20200611multiint-0000001,"Aéroport international Jean-Lesage (Nord)",,0,,07600024,2
200760,20200611multiint-0000001,66956321-20200611multiint-0000001,"Gare de train de Sainte-Foy (Sud)",,1,,07600023,2
200760,20200611multiint-0000001,66956359-20200611multiint-0000001,"Aéroport international Jean-Lesage (Nord)",,0,,07600024,2
200760,20200611multiint-0000001,66956324-20200611multiint-0000001,"Gare de train de Sainte-Foy (Sud)",,1,,07600023,2
200760,20200611multiint-0000001,66956362-20200611multiint-0000001,"Aéroport international Jean-Lesage (Nord)",,0,,07600024,2
200800,20200611multiint-0000001,66954889-20200611multiint-0000001,"Place Jacques-Cartier (Sud)",,1,,08000594,2
200800,20200611multiint-0000001,66954907-20200611multiint-0000001,"Aéroport international Jean-Lesage (Nord)",,0,,08000595,2
200800,20200611multiint-0000001,66954891-20200611multiint-0000001,"Place Jacques-Cartier (Sud)",,1,,08000594,2
200800,20200611multiint-0000001,66954909-20200611multiint-0000001,"Aéroport international Jean-Lesage (Nord)",,0,,08000595,2
200790,20200611multiint-0000001,66953974-20200611multiint-0000001,"Terminus Les Saules / Belvédère (Sud)",,1,,07900377,2
200790,20200611multiint-0000001,66953972-20200611multiint-0000001,"L'Ancienne-Lorette (Nord)",,0,,07900375,2
200720,20200611multiint-0000001,66956131-20200611multiint-0000001,"Terminus Charlesbourg (Est)",,0,,07200326,2
200720,20200611multiint-0000001,66956149-20200611multiint-0000001,"Loretteville (Ouest)",,1,,07200323,2
200580,20200611multiint-0000001,66956166-20200611multiint-0000001,"Sainte-Thérèse-de-Lisieux (Nord)",,0,,05800006,2
200930,20200611multiint-0000001,66955970-20200611multiint-0000001,"Champigny (Nord)",,0,,09300510,2
200930,20200611multiint-0000001,66955978-20200611multiint-0000001,"Sainte-Foy Centre/Univ.Laval/Cégep Garneau (Sud)",,1,,09300314,2
200700,20200611multiint-0000001,66955077-20200611multiint-0000001,"Val-Bélair (Nord)",,0,,07000053,2
200740,20200611multiint-0000001,66953761-20200611multiint-0000001,"Place Jacques-Cartier (Sud)",,1,,07400324,2
200740,20200611multiint-0000001,66953746-20200611multiint-0000001,"Val-Bélair (Nord)",,0,,07400326,2
200770,20200611multiint-0000001,66955048-20200611multiint-0000001,"Terminus Les Saules (Sud)",,1,,07700326,2
200770,20200611multiint-0000001,66955060-20200611multiint-0000001,"Val-Bélair (Nord)",,0,,07700311,2
200130,20200611multiint-0000001,66956274-20200611multiint-0000001,"Saint-Louis/Sainte-Foy Centre/du Versant-Nord (Est)",,0,,01300515,2
200770,20200611multiint-0000001,66955050-20200611multiint-0000001,"Terminus Les Saules (Sud)",,1,,07700326,2
